q,n,predicted_p95_median,observed_error_median,observed_error_p95,p95_ratio_pred_to_observed,coverage_p95
1,76887,0.004562950961997292,0.0015087375650182366,0.004696246841922403,0.9716165090098744,0.9431373314084306
2,76887,0.006177115490411073,0.0021583368070423603,0.006337484531104563,0.9746951586380379,0.9479625944568002
3,76887,0.027045476159009388,0.007117659784853458,0.029514604061841965,0.9163421641144495,0.9480406310559653
4,76887,0.050553056401034926,0.016785897314548492,0.0500350035727024,1.0103538081611163,0.9516433207174164
5,76887,0.07021842497076017,0.022630680352449417,0.06692963242530821,1.0491380637585628,0.9664702745587681
