file,source_kind,roi,median_snr,texture_detail_support_p90,thin_coherent_risk_p90,glint_censor_risk_p99,limiter_p90,v47j_microdetail_ratio,unified_microdetail_ratio,unified_vs_v47j_microdetail,v47j_support_overshoot_p99,unified_support_overshoot_p99,unified_lowfreq_std_ratio,unified_rgb_direction_p95_deg,v47j_area_ge_neutral_p99_9,unified_area_ge_neutral_p99_9
IMG_20260530_143227.dng,vendor,foliage_texture,21.34562873840332,0.8663221001625061,0.6043508648872375,0.3499999940395355,0.25345510244369507,1.1115752335319842,1.0914290508763484,0.9818760061866241,0.05078497236646289,0.030000265687704086,1.0000773561095573,0.02797645330429077,3.9215686274509805e-05,3.6199095022624436e-05
IMG_20260530_143227.dng,vendor,soil_grass_texture,24.053142547607422,1.0,0.5900833606719971,0.292492151260376,0.21665631234645844,1.1260659510628845,1.1082688807115995,0.9841953569997507,0.04722239870620603,0.03000030294060707,1.0006467547963,0.02797645330429077,3.1584798868000806e-06,2.5267839094400646e-06
IMG_20260530_143227.dng,vendor,construction_texture,18.722606658935547,1.0,0.8225039839744568,0.3499999940395355,0.28065189719200134,1.1193059872536184,1.0981946792347321,0.9811389304986334,0.05176537833130765,0.03000032529234886,1.0002586979120838,0.02797645330429077,7.307692307692307e-05,6.666666666666667e-05
IMG_20260530_143343.dng,vendor,dense_fibres,47.83466339111328,1.0,0.6318378448486328,0.5360195636749268,0.22555044293403625,1.1670575885076016,1.139345668890263,0.9762548824580493,0.045912775429361605,0.03000033274292946,1.0001067102960892,0.02797645330429077,0.0026323809523809524,0.0025104761904761906
IMG_20260530_143343.dng,vendor,fine_outer_fibres,49.36506652832031,1.0,0.608486533164978,0.5534667372703552,0.22566097974777222,1.166626905445102,1.1391023113564434,0.9764066866963288,0.045671098780775986,0.030000321567058563,1.0001052800471428,0.02797645330429077,0.0028032454361054766,0.0026734279918864097
IMG_20260530_143343.dng,vendor,smooth_background,23.840354919433594,0.21621350944042206,0.0,0.021001305431127548,0.009677116759121418,1.0149980996296564,1.014720597439325,0.9997265983153736,0.030453537153369195,0.026029366999864578,1.0000148733178753,0.02797645330429077,0.0,0.0
IMG_20260425_171051.dng,vendor,backlit_fibres,27.006488800048828,1.0,0.8944663405418396,0.4273527264595032,0.301260381937027,1.152707798429598,1.125987112865554,0.9768192029233713,0.05032868736817263,0.030000150203704834,1.0002910881109055,0.02797645330429077,0.0009291375291375292,0.0009002331002331002
IMG_20260425_171051.dng,vendor,specular_fibre_tips,24.50757598876953,1.0,0.9279339909553528,0.4790763854980469,0.31612327694892883,1.1546716648500341,1.1264494424625346,0.9755582272895169,0.05073277349505262,0.030000127851963043,1.0002846663819622,0.02797645330429077,0.0012648578811369508,0.001225452196382429
IMG_20260425_171051.dng,vendor,dark_background,7.890345096588135,0.6335909962654114,0.5426772236824036,0.3260955214500427,0.2748390734195709,1.1136208384282407,1.0923235083582319,0.9808756002625922,0.0500924845357107,0.030000073835253716,1.000518132296891,0.02797645330429077,6.8e-05,4.4e-05
IMG_20260809_144614.dng,vendor,open_water,36.79022216796875,1.0,1.0,0.3345147967338562,0.3041449785232544,1.1513442184307212,1.1242133504306775,0.9764354850914846,0.04932706082167453,0.03000052087008953,1.0004398992931443,0.02797645330429077,0.0002020983832129343,0.0001934984520123839
IMG_20260809_144614.dng,vendor,splash,42.51160430908203,1.0,0.9199509620666504,0.44219011068344116,0.269029825925827,1.151488580217857,1.1242819713176277,0.976372662857775,0.047682096893471,0.030000485479831696,1.0005212839898439,0.02797645330429077,0.0003107692307692308,0.00027692307692307695
IMG_20260809_144614.dng,vendor,wet_pool_edge,30.82530975341797,0.7501884698867798,0.5199510455131531,0.10484050214290619,0.18239252269268036,1.0752388039433647,1.0645086540949862,0.9900206820949667,0.04961469729088479,0.030000699684023857,1.0001954806417017,0.02797645330429077,0.0,0.0
IMG_20260809_144614.dng,vendor,skin_context,43.294532775878906,1.0,0.902568519115448,0.3499999940395355,0.2624240517616272,1.1657212878582912,1.1377800616992744,0.9760309548688507,0.047912659864361704,0.030000604689121246,1.0006216881863503,0.02797645330429077,8.461538461538461e-05,7.692307692307693e-05
IMG_BNNN88_270426_180735.dng,google_hdrplus,iridescent_head,27.274864196777344,1.0,0.9962608814239502,1.0,0.3250763714313507,1.0812617642670963,1.0606971991874248,0.9809809559911603,0.04072017558788493,0.03000018745660782,1.000488767307124,0.02797645330429077,0.015517241379310345,0.015454545454545455
IMG_BNNN88_270426_180735.dng,google_hdrplus,wing_feathers,31.768674850463867,1.0,1.0,0.49133890867233276,0.33278387784957886,1.0720457981741702,1.0569070241777836,0.9858786126281452,0.0396271495810616,0.030000191181898117,1.0006084296415039,0.02797645330429077,0.0009614512471655328,0.0008163265306122449
IMG_BNNN88_270426_180735.dng,google_hdrplus,body_feathers,31.10038948059082,1.0,1.0,0.5395830869674683,0.33500975370407104,1.0620691082409899,1.0493809518636104,0.9880533608604869,0.03955300654817947,0.030000152066349983,1.0006041960347245,0.02797645330429077,0.004530141843971631,0.004450354609929078
IMG_BNNN88_270426_180735.dng,google_hdrplus,water_background,27.332199096679688,0.31302234530448914,0.13480201363563538,0.016684161499142647,0.05761341378092766,1.018835268947466,1.0164023615964863,0.9976120699536706,0.04557052974110662,0.029997337609529495,1.00058427663309,0.02797645330429077,0.0,0.0
IMG_BNNN88_270426_180735.dng,google_hdrplus,grass,36.50147247314453,1.0,0.9715484380722046,0.42779555916786194,0.27229946851730347,1.0613191179056896,1.05143985773961,0.9906915271765061,0.037339245246979104,0.030000068247318268,1.00138848470097,0.02797645330429077,0.0,0.0
IMG_BNNN88_270426_180747.dng,google_hdrplus,iridescent_head,20.566123962402344,0.8990010023117065,0.5518829822540283,0.13382196426391602,0.24789932370185852,1.1612541503585252,1.1462084474409477,0.9870435744725371,0.06493343148886081,0.030000483617186546,1.0013769137220885,0.02797645330429077,0.0,0.0
IMG_BNNN88_270426_180747.dng,google_hdrplus,wing_feathers,24.09170150756836,1.0,1.0,0.5281495451927185,0.33672162890434265,1.1420510266470483,1.112570793898699,0.9741865888121476,0.062351941091750226,0.030000492930412292,1.0006309785356975,0.02797645330429077,0.0,0.0
IMG_BNNN88_270426_180747.dng,google_hdrplus,light_flank_feathers,48.11186599731445,1.0,1.0,0.6138172745704651,0.3078957498073578,1.1413959822240056,1.11277743349278,0.9749267132731076,0.049752839107220344,0.030000444501638412,1.000673721889696,0.02797645330429077,0.005345238095238096,0.005226190476190476
IMG_BNNN88_270426_180747.dng,google_hdrplus,water_background,18.680402755737305,0.16750212013721466,0.15614207088947296,0.010885232128202915,0.07512926310300827,1.0179852672593706,1.0121383171822096,0.9942563509854104,0.0700247050136355,0.030001189559698105,1.0005294255794674,0.02797645330429077,0.0,0.0
